operator_code,fleet_prefix,listed_bus_count,model_names,across_record_ids
NLB,MG,20,NLB MAN RR8 (MN),430
NLB,MS,16,NLB Mitsubishi Rosa BE437F (MS) | NLB Mitsubishi Rosa BE439F (MS) | NLB Mitsubishi Rosa BE649J (MS),289|206|290
NLB,LD,15,NLB Leyland Victory Mk II (LD),208
NLB,AD,14,NLB ADL Enviro 400 (AD),400
NLB,DLS,11,NLB Dodge RGI5 (DLS),232
NLB,MDRS,11,NLB MAN A95 11.7m (MDRS),426
NLB,TCM,6,"NLB Toyota Coaster (TCM,TY)",207
NLB,TY,6,"NLB Toyota Coaster (TCM,TY)",207
NLB,VL,6,NLB Volvo B6LE (VL),276
NLB,BE,5,NLB BYD K9,397
NLB,DN,5,NLB Dennis Dart SLF (DN) | NLB Dennis Trident 12m (DN),204|338
NLB,DSS,3,NLB Dodge KC40 (DSS),233
NWFB,,1943,"NWFB ADL Enviro 200 MMC (25) | NWFB ADL Enviro 400 10.4m (315,38) | NWFB ADL Enviro 500 MMC 12.8m (61,611,612,62) | NWFB Alexander Dennis Enviro 500 11.3m (40) | NWFB Alexander Dennis Enviro 500 12m (2,55,599) | NWFB Alexander Dennis Enviro 500 Hybrid (56) | NWFB Alexander Dennis Enviro 500 MMC 11.3m (40,499,8) | NWFB Alexander Dennis Enviro 500 MMC 12m (55,56,57,58) | NWFB BYD K9R (20) | NWFB Dennis Dart SLF 10.1m (20) | NWFB Dennis Dart SLF 10.7m (20) | NWFB Dennis Trident (Duple Metsec Body) (30) | NWFB Dennis Trident 10.3m (33) | NWFB Dennis Trident 10.6m (16) | NWFB Dennis Trident 10.6m (Duple Metsec Body) (36) | NWFB Dennis Trident 11.3m (14) | NWFB Dennis Trident 12m (10,11) | NWFB Dennis Trident 12m (Euro III) (12) | NWFB MAN A95 12.8m (60) | NWFB Neoplan Centroliner (60) | NWFB Volvo B8L (52,521,88) | NWFB Volvo B9TL 11.3m (45) | NWFB Volvo B9TL 12m (52) | NWFB Volvo Super Olympian 12m (50) | NWFB Yixing Great Dragon SDL6120EVG (20) | NWFB Youngman JNP6120 (26)",394|386|384|299|287|348|337|351|371|6|5|49|50|15|16|14|13|12|377|17|409|358|382|51|379|359
NWFB,LV,164,NWFB Leyland Victory II (LV),124
NWFB,DA,101,NWFB Dennis Condor/ Dragon (DA),52
NWFB,ML,84,NWFB MCW Metrobus 12m (ML),118
NWFB,VA,78,NWFB Volvo Olympian 11m / 12m (VA),54
NWFB,LF,72,NWFB Daimler/ Leyland Fleetline (LF),122
NWFB,DL,48,NWFB Dennis Condor 12m (DL),119
NWFB,MB,40,NWFB MCW Metrobus 11m (MB),117
NWFB,DM,29,NWFB Dennis Condor 11m (DM),56
NWFB,DS,29,NWFB Dennis Jubilant (DS),120
NWFB,SF,29,NWFB Leyland Fleetline (SF),123
NWFB,LA,25,NWFB Leyland Olympian 11m (A/C) (LA),53
NWFB,DC,22,NWFB Dennis Dart (DC),55
NWFB,LM,10,NWFB Leyland Olympian 11m (LM),121
NWFB,MC,10,NWFB MCW Metrobus 9.7m (MC),57
NWFB,T,8,NWFB Training Fleet (T1),243
NWS,T,41,NWS Training Fleet (T),314
PITCL,,86,PITCL ADL Enviro 200 Dart | PITCL Alexander Dennis Enviro 500 (Euro V) | PITCL Alexander Dennis Super Pointer Dart (Coach Version) | PITCL BYD CK6120LLEV | PITCL CRRC TEG6125EUBEV01 | PITCL Dennis Dart SLF (1) | PITCL Designline Olymbus | PITCL Guangtong GTK6129BEVB | PITCL Higer KLQ6119 | PITCL Isuzu LT133L | PITCL Isuzu LT134P (9) | PITCL Kinglong XMQ6127 (9) | PITCL Kinglong XMQ6803H | PITCL Lion Bus LBC6101 | PITCL MAN NL323 | PITCL MAN RR8 | PITCL Man A51 (9) | PITCL Scania K94IB 4x2 | PITCL Sunlong SLK6102 | PITCL Sunlong SLK6112 | PITCL Toyota Coaster | PITCL TransBus Super Pointer Dart (1) | PITCL Volvo B7RLE | PITCL YoungMan JNP6122GR2 (3) | PITCL Yutong ZK6100H (9) | PITCL Yutong ZK6119HC (9),376|447|275|425|441|109|110|446|422|302|325|327|412|301|341|428|332|369|372|436|368|219|198|440|311|324|326
Reserved,,0,Reserved,79
Shandong,DBAY,2,Shandong Yixing Great Dragon SDL6120EVG,347
Stagecoach,,6,Stagecoach Volvo Olympian,218
Stagecoach,3L,5,Stagecoach Volvo B10M,217
Stagecoach,4L,5,Stagecoach Volvo B10M,217
Stagecoach,5L,5,Stagecoach Volvo B10M,217
Sun,,19,Sun Bus Dennis Trident 12m | Sun Bus MAN NL323 (Borrow from NHKB) | Sun Bus Neoplan Centroliner | Sun Bus Wright Streetdeck,373|411|410|415
SunBus,,6,SunBus Volvo B7RLE,433
Weisheit,,5,Weisheit VV12HR | Weisheit WSD6121BR1EV,429|420
XXX,,0,XXX,74
