operator_code,fleet_prefix,model_name,across_record_id,listed_bus_count,source_url
DBTSL,DBAY,DBTSL MAN 12.240,294,2,https://1005.idv.hk/index.php?page=11&p=294
DBTSL,DBAY,DBTSL MAN 13.220,226,4,https://1005.idv.hk/index.php?page=11&p=226
DBTSL,DBAY,DBTSL MAN 14.220,227,4,https://1005.idv.hk/index.php?page=11&p=227
DBTSL,DBAY,DBTSL MAN 18.310,267,12,https://1005.idv.hk/index.php?page=11&p=267
DBTSL,DBAY,DBTSL MAN A66,395,4,https://1005.idv.hk/index.php?page=11&p=395
DBTSL,DBAY,DBTSL MAN A84,354,1,https://1005.idv.hk/index.php?page=11&p=354
DBTSL,DBAY,DBTSL MAN A95,391,9,https://1005.idv.hk/index.php?page=11&p=391
DBTSL,DBAY,DBTSL MAN NL-212,220,4,https://1005.idv.hk/index.php?page=11&p=220
DBTSL,DBAY,DBTSL MAN NL-262,229,19,https://1005.idv.hk/index.php?page=11&p=229
DBTSL,DBAY,DBTSL MAN NL-263,228,24,https://1005.idv.hk/index.php?page=11&p=228
DBTSL,DBAY,DBTSL MAN NL-273,300,5,https://1005.idv.hk/index.php?page=11&p=300
DBTSL,DBAY,DBTSL MAN NL323,317,14,https://1005.idv.hk/index.php?page=11&p=317
DBTSL,DBAY,DBTSL MAN NL323,419,4,https://1005.idv.hk/index.php?page=11&p=419
DBTSL,DBAY,DBTSL MAN RR2,392,1,https://1005.idv.hk/index.php?page=11&p=392
DBTSL,DBAY,DBTSL Mercedes Benz O405,222,5,https://1005.idv.hk/index.php?page=11&p=222
DBTSL,DBAY,DBTSL Mitsubishi Rosa,241,7,https://1005.idv.hk/index.php?page=11&p=241
DBTSL,DBAY,DBTSL Scania K280IB,383,2,https://1005.idv.hk/index.php?page=11&p=383
DBTSL,DBAY,DBTSL Toyota Coaster,231,18,https://1005.idv.hk/index.php?page=11&p=231
DBTSL,DBAY,DBTSL Volvo B7R,320,2,https://1005.idv.hk/index.php?page=11&p=320
DBTSL,DBAY,DBTSL Volvo B9TL,360,6,https://1005.idv.hk/index.php?page=11&p=360
DBTSL,DBAY,DBTSL Volvo Olympian 12m,381,4,https://1005.idv.hk/index.php?page=11&p=381
DBTSL,HKR,DBTSL Dennis Dart (Carlyle Body),230,3,https://1005.idv.hk/index.php?page=11&p=230
DBTSL,HKR,DBTSL Dennis Dart SLF,201,10,https://1005.idv.hk/index.php?page=11&p=201
DBTSL,HKR,DBTSL Isuzu LT112L,224,9,https://1005.idv.hk/index.php?page=11&p=224
DBTSL,HKR,DBTSL MAN 13.220,226,4,https://1005.idv.hk/index.php?page=11&p=226
DBTSL,HKR,DBTSL MAN 14.220,227,4,https://1005.idv.hk/index.php?page=11&p=227
DBTSL,HKR,DBTSL MAN 18.310,267,12,https://1005.idv.hk/index.php?page=11&p=267
DBTSL,HKR,DBTSL MAN NL-212,220,4,https://1005.idv.hk/index.php?page=11&p=220
DBTSL,HKR,DBTSL MAN NL-262,229,19,https://1005.idv.hk/index.php?page=11&p=229
DBTSL,HKR,DBTSL MAN NL-263,228,24,https://1005.idv.hk/index.php?page=11&p=228
DBTSL,HKR,DBTSL Mercedes Benz O405,222,5,https://1005.idv.hk/index.php?page=11&p=222
DBTSL,HKR,DBTSL Mercedes Benz O814,221,2,https://1005.idv.hk/index.php?page=11&p=221
DBTSL,HKR,DBTSL Mitsubishi Rosa,225,4,https://1005.idv.hk/index.php?page=11&p=225
DBTSL,HKR,DBTSL Mitsubishi Rosa,241,7,https://1005.idv.hk/index.php?page=11&p=241
DBTSL,HKR,DBTSL Nissan Diesel RB80,223,2,https://1005.idv.hk/index.php?page=11&p=223
DBTSL,HKR,DBTSL Toyota Coaster,231,18,https://1005.idv.hk/index.php?page=11&p=231
Fung,,Fung Choi Travel Leyland Olympian 12m Coach,94,1,https://1005.idv.hk/index.php?page=11&p=94
HACTL,,HACTL Dennis Dragon 12m,10,4,https://1005.idv.hk/index.php?page=11&p=10
HACTL,,HACTL Volvo Olympian 12m,11,2,https://1005.idv.hk/index.php?page=11&p=11
HZMBus,,HZMBus MAN A95,398,60,https://1005.idv.hk/index.php?page=11&p=398
HZMBus,,HZMBus MAN RR4,444,12,https://1005.idv.hk/index.php?page=11&p=444
HZMBus,,HZMBus Miscellaneous Fleet,403,66,https://1005.idv.hk/index.php?page=11&p=403
HZMBus,,HZMBus Scania K250UB,399,40,https://1005.idv.hk/index.php?page=11&p=399
HZMBus,,HZMBus Scania K410CB,438,8,https://1005.idv.hk/index.php?page=11&p=438
HZMBus,,HZMBus Scania K410IB,404,53,https://1005.idv.hk/index.php?page=11&p=404
HZMBus,,HZMBus Volvo B13R,442,12,https://1005.idv.hk/index.php?page=11&p=442
KCM,,KCM Dennis Trident 12m,339,9,https://1005.idv.hk/index.php?page=11&p=339
KCM,,KCM MAN A95,363,9,https://1005.idv.hk/index.php?page=11&p=363
KCRC,,KCRC Dennis Dart (5),102,4,https://1005.idv.hk/index.php?page=11&p=102
KCRC,,KCRC Dennis Trident 10.6m (7),235,47,https://1005.idv.hk/index.php?page=11&p=235
KCRC,,KCRC Dennis Trident 11.3m (6),103,28,https://1005.idv.hk/index.php?page=11&p=103
KCRC,,KCRC Leyland Olympian 11m (2),96,24,https://1005.idv.hk/index.php?page=11&p=96
KCRC,,KCRC MCW Metrobus 9.7m (1),95,59,https://1005.idv.hk/index.php?page=11&p=95
KCRC,,KCRC Mitsubishi BM117L (3),100,6,https://1005.idv.hk/index.php?page=11&p=100
KCRC,,KCRC Mitsubishi MP618N (3),99,1,https://1005.idv.hk/index.php?page=11&p=99
KCRC,,KCRC Mitsubishi Mk218 (3),98,11,https://1005.idv.hk/index.php?page=11&p=98
KCRC,,KCRC Mitsubishi Rosa (1),260,1,https://1005.idv.hk/index.php?page=11&p=260
KCRC,,KCRC Toyota Coaster (1),259,12,https://1005.idv.hk/index.php?page=11&p=259
KCRC,,KCRC Volvo B10M (4),101,15,https://1005.idv.hk/index.php?page=11&p=101
KCRC,,KCRC Volvo Olympian 11m (2),97,15,https://1005.idv.hk/index.php?page=11&p=97
KCRC,K,KCRC Temporary Bus Fleet (K),104,43,https://1005.idv.hk/index.php?page=11&p=104
KMB,2A,KMB AEC Regent V (2A),245,28,https://1005.idv.hk/index.php?page=11&p=245
KMB,2D,KMB Daimler Fleetline (2D),137,107,https://1005.idv.hk/index.php?page=11&p=137
KMB,2L,KMB Leyland Atlantean PDR1/1 (2L),136,71,https://1005.idv.hk/index.php?page=11&p=136
KMB,2L,KMB Leyland Titan PD3/5 (2L),135,3,https://1005.idv.hk/index.php?page=11&p=135
KMB,3AD,KMB Dennis Dragon 12m (A/C) (3AD),23,170,https://1005.idv.hk/index.php?page=11&p=23
KMB,3ASV,KMB Volvo Super Olympian 12m (Alexander Body/Volgren Body) (3ASV),3,493,https://1005.idv.hk/index.php?page=11&p=3
KMB,3ATENU,"KMB Alexander Dennis Enviro 500 MMC 12.8m (3ATENU,E5L)",342,224,https://1005.idv.hk/index.php?page=11&p=342
KMB,3ATENUW,"KMB Alexander Dennis Enviro 500 MMC 12.8m (3ATENU,E5L)",342,224,https://1005.idv.hk/index.php?page=11&p=342
KMB,3AV,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,3AV,KMB Volvo Olympian 12m (A/C) (3AV),24,348,https://1005.idv.hk/index.php?page=11&p=24
KMB,3AVBWU,KMB Volvo B9TL 12.8m (3AVBWU),344,2,https://1005.idv.hk/index.php?page=11&p=344
KMB,3BL,KMB Leyland Olympian 12m (3BL),38,163,https://1005.idv.hk/index.php?page=11&p=38
KMB,3M,KMB MCW Metrobus 12m (3M),45,3,https://1005.idv.hk/index.php?page=11&p=45
KMB,3M,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,3N,KMB Dennis Dragon 12m (3N),39,191,https://1005.idv.hk/index.php?page=11&p=39
KMB,3N,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,A,KMB AEC Regent Mk V (A),134,210,https://1005.idv.hk/index.php?page=11&p=134
